design_label,metric,replicate,sample_seed,n_models,n_dyads,mean_similarity_rate,mas_compatibility_rate,identified_compatibility_rate,similarity_minus_mas,similarity_minus_identified,similarity_error,mas_error,identified_error,similarity_minus_mas_error,similarity_minus_identified_error
1B,identified_compatible,44,1044,60,3540,0.677408,1.0,0.107345,-0.322592,0.570064,-0.000837,0.0,-0.002603,-0.000837,0.001767
1B,identified_compatible,45,1045,60,3540,0.679642,1.0,0.107345,-0.320358,0.572298,0.001397,0.0,-0.002603,0.001397,0.004001
1B,identified_compatible,46,1046,60,3540,0.677769,1.0,0.107345,-0.322231,0.570424,-0.000476,0.0,-0.002603,-0.000476,0.002127
1B,identified_compatible,47,1047,60,3540,0.684666,1.0,0.107345,-0.315334,0.577321,0.006421,0.0,-0.002603,0.006421,0.009024
1B,identified_compatible,48,1048,60,3540,0.685072,1.0,0.107345,-0.314928,0.577727,0.006827,0.0,-0.002603,0.006827,0.00943
1B,identified_compatible,49,1049,60,3540,0.688216,1.0,0.107345,-0.311784,0.580871,0.009971,0.0,-0.002603,0.009971,0.012574
1B,identified_compatible,50,1050,60,3540,0.681599,1.0,0.107345,-0.318401,0.574254,0.003354,0.0,-0.002603,0.003354,0.005957
1B,identified_compatible,51,1051,60,3540,0.683022,1.0,0.107345,-0.316978,0.575678,0.004777,0.0,-0.002603,0.004777,0.007381
1B,identified_compatible,52,1052,60,3540,0.681662,1.0,0.107345,-0.318338,0.574317,0.003417,0.0,-0.002603,0.003417,0.00602
1B,identified_compatible,53,1053,60,3540,0.687481,1.0,0.107345,-0.312519,0.580137,0.009236,0.0,-0.002603,0.009236,0.01184
1B,identified_compatible,54,1054,60,3540,0.679068,1.0,0.107345,-0.320932,0.571723,0.000823,0.0,-0.002603,0.000823,0.003426
1B,identified_compatible,55,1055,60,3540,0.687068,1.0,0.107345,-0.312932,0.579723,0.008823,0.0,-0.002603,0.008823,0.011426
1B,identified_compatible,56,1056,60,3540,0.690688,1.0,0.107345,-0.309312,0.583343,0.012443,0.0,-0.002603,0.012443,0.015046
1B,identified_compatible,57,1057,60,3540,0.682202,1.0,0.107345,-0.317798,0.574857,0.003957,0.0,-0.002603,0.003957,0.00656
1B,identified_compatible,58,1058,60,3540,0.683,1.0,0.107345,-0.317,0.575655,0.004755,0.0,-0.002603,0.004755,0.007358
1B,identified_compatible,59,1059,60,3540,0.683194,1.0,0.107345,-0.316806,0.575849,0.004949,0.0,-0.002603,0.004949,0.007552
