design_label,analysis,sample_blocks,n_models,n_dyads,mean_similarity_rate,mas_compatibility_rate,identified_compatibility_rate,similarity_minus_mas,similarity_minus_identified
1B,full census,64,192,36672,0.678245,1.0,0.109948,-0.321755,0.568297
1B,sample (seed 42),20,60,3540,0.682045,1.0,0.107345,-0.317955,0.574701
