design_label,analysis,sample_blocks,n_models,n_dyads,mean_similarity_rate,mas_compatibility_rate,identified_compatibility_rate,similarity_minus_mas,similarity_minus_identified
1A,full census,64,192,36672,0.757366,0.010471,1.0,0.746895,-0.242634
1A,sample (seed 42),20,60,3540,0.760238,0.011299,1.0,0.748938,-0.239762
