eps,min_samples,cluster_id,label,model_count,mainstream_count,ghost_count,heterogeneous_count,family_composition,internal_similarity,reference_similarity,internal_coherent,reference_distinct,reference_group_cluster_id,reference_group_size,within_mas_rate,within_mas_comparable_dyads,within_mas_unavailable_dyads,within_identified_rate,within_identified_comparable_dyads,within_identified_unavailable_dyads,to_reference_mas_rate,to_reference_mas_comparable_dyads,to_reference_mas_unavailable_dyads,to_reference_identified_rate,to_reference_identified_comparable_dyads,to_reference_identified_unavailable_dyads,from_reference_mas_rate,from_reference_mas_comparable_dyads,from_reference_mas_unavailable_dyads,from_reference_identified_rate,from_reference_identified_comparable_dyads,from_reference_identified_unavailable_dyads,to_mainstream_mas_rate,to_mainstream_mas_comparable_dyads,to_mainstream_mas_unavailable_dyads,to_mainstream_identified_rate,to_mainstream_identified_comparable_dyads,to_mainstream_identified_unavailable_dyads,from_mainstream_mas_rate,from_mainstream_mas_comparable_dyads,from_mainstream_mas_unavailable_dyads,from_mainstream_identified_rate,from_mainstream_identified_comparable_dyads,from_mainstream_identified_unavailable_dyads,high_mas,high_identified,common_gate_passed,required_unavailable_dyads,reference_group_mas_rate,reference_group_mas_comparable_dyads,reference_group_mas_unavailable_dyads,qualifies_as_mainstream,qualifies_as_ghost
0.5,4,Cluster_01,mainstream,31,30,0,1,"{""ghost"": 0, ""heterogeneous"": 1, ""mainstream"": 30}",0.854591,0.875865,True,False,Cluster_01,31,1.0,930,0,1.0,930,0,1.0,930,0,1.0,930,0,1.0,930,0,1.0,930,0,1.0,930,0,1.0,930,0,1.0,930,0,1.0,930,0,True,True,True,0,1.0,1860,0,True,False
0.5,4,Cluster_02,ghost,15,0,12,3,"{""ghost"": 12, ""heterogeneous"": 3, ""mainstream"": 0}",0.815022,0.379836,True,True,Cluster_01,31,0.742857,210,0,1.0,210,0,0.066667,465,0,1.0,465,0,0.066667,465,0,1.0,465,0,0.066667,465,0,1.0,465,0,0.066667,465,0,1.0,465,0,True,True,True,0,0.066667,930,0,False,True
0.5,4,Cluster_03,fragmented,154,0,0,154,"{""ghost"": 0, ""heterogeneous"": 154, ""mainstream"": 0}",0.459481,0.456085,False,True,Cluster_01,31,0.27816,23562,0,1.0,23562,0,0.292208,4774,0,1.0,4774,0,0.292208,4774,0,1.0,4774,0,0.292208,4774,0,1.0,4774,0,0.292208,4774,0,1.0,4774,0,False,True,False,0,0.292208,9548,0,False,False
